bank_stmt_id,credit_amount,narration,val_date
BNK_5000,2666.59,UPI/RZP/VIKRAM SHARMA/REF17019,2026-08-21
BNK_5001,3467.84,UPI/RZP/VIKRAM SHARMA/REF88282,2026-08-20
BNK_5002,4502.26,UPI/RZP/ANANYA SINGH/REF89695,2026-08-21
BNK_5003,5616.28,UPI/RZP/ANANYA SHARMA/REF62727,2026-08-22
BNK_5004,4286.6,UPI/RZP/AARAV GUPTA/REF71139,2026-08-22
BNK_5005,1885.99,UPI/RZP/RAHUL PATEL/REF49251,2026-08-20
BNK_5006,2522.6,UPI/RZP/SNEHA GUPTA/REF28520,2026-08-20
BNK_5007,6113.87,UPI/RZP/RAHUL MEHTA/REF42386,2026-08-22
BNK_5008,6796.11,UPI/RZP/ANANYA PATEL/REF95680,2026-08-22
BNK_5009,2415.53,UPI/RZP/VIKRAM GUPTA/REF54238,2026-08-21
BNK_5010,5329.13,UPI/RZP/AARAV SINGH/REF39021,2026-08-20
BNK_5011,7481.88,UPI/RZP/RAHUL MEHTA/REF47411,2026-08-20
BNK_5012,5611.38,UPI/RZP/VIKRAM SINGH/REF55636,2026-08-20
BNK_5013,1703.47,UPI/RZP/PRIYA SINGH/REF89027,2026-08-21
BNK_5014,5040.06,UPI/RZP/ANANYA VERMA/REF97115,2026-08-21
BNK_5015,2669.75,UPI/RZP/VIKRAM VERMA/REF67764,2026-08-22
BNK_5016,2426.52,UPI/RZP/AARAV PATEL/REF33290,2026-08-21
BNK_5017,7126.64,UPI/RZP/RAHUL SHARMA/REF47156,2026-08-21
BNK_5018,5883.26,UPI/RZP/VIKRAM MEHTA/REF54457,2026-08-20
BNK_5019,1495.53,UPI/RZP/AARAV VERMA/REF15436,2026-08-21
BNK_5020,4063.55,UPI/RZP/AARAV MEHTA/REF84414,2026-08-22
BNK_5021,1144.08,UPI/RZP/ANANYA SINGH/REF75352,2026-08-22
BNK_5022,4457.2,UPI/RZP/SNEHA SHARMA/REF23808,2026-08-21
BNK_5023,5945.49,UPI/RZP/RAHUL VERMA/REF93841,2026-08-22
BNK_5024,6558.72,UPI/RZP/VIKRAM VERMA/REF31689,2026-08-22
BNK_5025,4400.75,UPI/RZP/PRIYA VERMA/REF44289,2026-08-22
BNK_5026,8350.47,UPI/RZP/VIKRAM SINGH/REF51542,2026-08-21
BNK_5027,3498.88,UPI/RZP/ANANYA SINGH/REF17186,2026-08-21
BNK_5028,270.5,UPI/RZP/RAHUL PATEL/REF28063,2026-08-20
BNK_5029,8492.54,UPI/RZP/SNEHA MEHTA/REF88899,2026-08-21
BNK_5030,8229.91,UPI/RZP/VIKRAM PATEL/REF33864,2026-08-20
BNK_5031,3666.76,UPI/RZP/SNEHA MEHTA/REF67560,2026-08-20
BNK_5032,2087.49,UPI/RZP/RAHUL MEHTA/REF84957,2026-08-21
BNK_5033,7090.43,UPI/RZP/SNEHA SHARMA/REF30269,2026-08-21
BNK_5034,7927.34,UPI/RZP/SNEHA SINGH/REF70138,2026-08-20
BNK_5035,1856.39,UPI/RZP/VIKRAM MEHTA/REF27393,2026-08-22
BNK_5036,8238.21,UPI/RZP/AARAV VERMA/REF39426,2026-08-21
BNK_5037,501.55,UPI/RZP/ANANYA PATEL/REF88448,2026-08-22
BNK_5038,636,UPI/RZP/RAHUL VERMA/REF92297,2026-08-21
BNK_5039,590.9,UPI/RZP/PRIYA SINGH/REF98859,2026-08-20
BNK_5040,12231.27,NEFT-INW/ANAN-SETTLMT,2026-08-23
BNK_5041,6040.31,NEFT-INW/AARA-SETTLMT,2026-08-23
BNK_5042,12899.01,NEFT-INW/VIKR-SETTLMT,2026-08-26
BNK_5043,6284.02,NEFT-INW/AARA-SETTLMT,2026-08-24
BNK_5044,9342.26,NEFT-INW/AARA-SETTLMT,2026-08-22
BNK_5045,6385.9,NEFT-INW/ANAN-SETTLMT,2026-08-25
BNK_5046,12000.14,NEFT-INW/SNEH-SETTLMT,2026-08-23
BNK_5047,1834.55,NEFT-INW/SNEH-SETTLMT,2026-08-23
BNK_5048,2966.81,NEFT-INW/RAHU-SETTLMT,2026-08-23
BNK_5049,5785.4,NEFT-INW/SNEH-SETTLMT,2026-08-22
BNK_5050,10605.4,NEFT-INW/SNEH-SETTLMT,2026-08-24
BNK_5051,13034.29,NEFT-INW/AARA-SETTLMT,2026-08-24
BNK_5052,11482.9,NEFT-INW/SNEH-SETTLMT,2026-08-25
BNK_5053,7414.2,NEFT-INW/ANAN-SETTLMT,2026-08-25
BNK_5054,6433.05,NEFT-INW/PRIY-SETTLMT,2026-08-23
BNK_5055,2414.32,CC/RZP/ANANYA VERMA/NET,2026-08-22
BNK_5056,4799.77,CC/RZP/PRIYA PATEL/NET,2026-08-21
BNK_5057,3161.36,CC/RZP/SNEHA GUPTA/NET,2026-08-21
BNK_5058,1640.39,CC/RZP/PRIYA VERMA/NET,2026-08-22
BNK_5059,1092.72,CC/RZP/PRIYA PATEL/NET,2026-08-22
BNK_5060,5000.00,NEFT-INW/RAHU-SETTLMT,2026-08-21
BNK_5061,5010.00,NEFT-INW/RAHU-SETTLMT,2026-08-21
