internal_txn_id,amount,customer_name,created_at
TXN_1000,2666.59,Vikram Sharma,2026-08-21 09:37:00
TXN_1001,3467.84,Vikram Sharma,2026-08-20 19:49:00
TXN_1002,4502.26,Ananya Singh,2026-08-21 04:35:00
TXN_1003,5616.28,Ananya Sharma,2026-08-21 01:43:00
TXN_1004,4286.6,Aarav Gupta,2026-08-21 07:06:00
TXN_1005,1885.99,Rahul Patel,2026-08-20 17:01:00
TXN_1006,2522.6,Sneha Gupta,2026-08-20 14:48:00
TXN_1007,6113.87,Rahul Mehta,2026-08-21 01:18:00
TXN_1008,6796.11,Ananya Patel,2026-08-21 04:50:00
TXN_1009,2415.53,Vikram Gupta,2026-08-20 16:05:00
TXN_1010,5329.13,Aarav Singh,2026-08-20 20:25:00
TXN_1011,7481.88,Rahul Mehta,2026-08-20 19:11:00
TXN_1012,5611.38,Vikram Singh,2026-08-20 15:42:00
TXN_1013,1703.47,Priya Singh,2026-08-20 13:33:00
TXN_1014,5040.06,Ananya Verma,2026-08-21 08:33:00
TXN_1015,2669.75,Vikram Verma,2026-08-21 05:12:00
TXN_1016,2426.52,Aarav Patel,2026-08-20 10:47:00
TXN_1017,7126.64,Rahul Sharma,2026-08-20 18:15:00
TXN_1018,5883.26,Vikram Mehta,2026-08-20 11:48:00
TXN_1019,1495.53,Aarav Verma,2026-08-20 21:03:00
TXN_1020,4063.55,Aarav Mehta,2026-08-21 08:10:00
TXN_1021,1144.08,Ananya Singh,2026-08-21 01:49:00
TXN_1022,4457.2,Sneha Sharma,2026-08-20 12:14:00
TXN_1023,5945.49,Rahul Verma,2026-08-21 07:39:00
TXN_1024,6558.72,Vikram Verma,2026-08-21 04:23:00
TXN_1025,4400.75,Priya Verma,2026-08-21 03:37:00
TXN_1026,8350.47,Vikram Singh,2026-08-20 14:00:00
TXN_1027,3498.88,Ananya Singh,2026-08-21 00:28:00
TXN_1028,270.5,Rahul Patel,2026-08-20 16:30:00
TXN_1029,8492.54,Sneha Mehta,2026-08-21 06:10:00
TXN_1030,8229.91,Vikram Patel,2026-08-20 11:03:00
TXN_1031,3666.76,Sneha Mehta,2026-08-20 16:43:00
TXN_1032,2087.49,Rahul Mehta,2026-08-21 06:14:00
TXN_1033,7090.43,Sneha Sharma,2026-08-20 11:46:00
TXN_1034,7927.34,Sneha Singh,2026-08-20 13:29:00
TXN_1035,1856.39,Vikram Mehta,2026-08-21 02:57:00
TXN_1036,8238.21,Aarav Verma,2026-08-20 21:03:00
TXN_1037,501.55,Ananya Patel,2026-08-21 00:23:00
TXN_1038,636,Rahul Verma,2026-08-20 19:42:00
TXN_1039,590.9,Priya Singh,2026-08-20 21:51:00
TXN_1040,12231.27,Ananya Sharma,2026-08-21 07:25:00
TXN_1041,6040.31,Aarav Sharma,2026-08-20 16:52:00
TXN_1042,12899.01,Vikram Sharma,2026-08-22 01:56:00
TXN_1043,6284.02,Aarav Singh,2026-08-22 08:21:00
TXN_1044,9342.26,Aarav Sharma,2026-08-20 20:16:00
TXN_1045,6385.9,Ananya Mehta,2026-08-21 06:28:00
TXN_1046,12000.14,Sneha Gupta,2026-08-21 21:55:00
TXN_1047,1834.55,Sneha Mehta,2026-08-21 16:36:00
TXN_1048,2966.81,Rahul Gupta,2026-08-21 04:42:00
TXN_1049,5785.4,Sneha Verma,2026-08-20 15:57:00
TXN_1050,10605.4,Sneha Singh,2026-08-22 02:22:00
TXN_1051,13034.29,Aarav Verma,2026-08-22 03:42:00
TXN_1052,11482.9,Sneha Patel,2026-08-21 09:57:00
TXN_1053,7414.2,Ananya Gupta,2026-08-21 18:40:00
TXN_1054,6433.05,Priya Gupta,2026-08-20 21:42:00
TXN_1055,2463.59,Ananya Verma,2026-08-21 09:18:00
TXN_1056,4897.72,Priya Patel,2026-08-20 17:13:00
TXN_1057,3225.88,Sneha Gupta,2026-08-20 20:10:00
TXN_1058,1673.87,Priya Verma,2026-08-21 06:59:00
TXN_1059,1115.02,Priya Patel,2026-08-21 00:39:00
TXN_1060,5000.00,Rahul Gupta,2026-08-20 15:00:00
TXN_1061,5010.00,Rahul Gupta,2026-08-20 17:00:00
TXN_1062,2500.50,Priya Patel,2026-08-21 09:20:00
TXN_1063,2500.50,Priya Patel,2026-08-21 14:20:00
TXN_1064,704.58,Aggregated Batch,2026-08-20 10:00:00
TXN_1065,733,Aggregated Batch,2026-08-20 10:00:00
TXN_1066,999.4,Aggregated Batch,2026-08-20 10:00:00
TXN_1067,1587.02,Aggregated Batch,2026-08-20 10:00:00
TXN_1068,1254.81,Aggregated Batch,2026-08-20 10:00:00
TXN_1069,830.62,Aggregated Batch,2026-08-20 10:00:00
TXN_1070,1055.85,Aggregated Batch,2026-08-20 10:00:00
TXN_1071,527,Aggregated Batch,2026-08-20 10:00:00
TXN_1072,1982.62,Aggregated Batch,2026-08-20 10:00:00
TXN_1073,1368.78,Aggregated Batch,2026-08-20 10:00:00
TXN_1074,1197.26,Aggregated Batch,2026-08-20 10:00:00
TXN_1075,518.54,Aggregated Batch,2026-08-20 10:00:00
TXN_1076,311.25,Aggregated Batch,2026-08-20 10:00:00
TXN_1077,308.09,Aggregated Batch,2026-08-20 10:00:00
TXN_1078,1273.84,Aggregated Batch,2026-08-20 10:00:00
TXN_1079,1250.00,Amit Singh,2026-08-20 10:00:00
TXN_1080,3400.00,Neha Rao,2026-08-20 10:00:00
